REACH_ID,LENGTH_M,AREA_SQKM,SPRAG14RCH,ACW,ACH
19598,30.02355,32.2066,7,5.50000000000,0.40000000000
19599,30.97824,32.1975,7,5.50000000000,0.40000000000
19600,31.31468,32.1873,7,5.50000000000,0.40000000000
19601,29.37363,32.1808,7,5.50000000000,0.40000000000
19602,29.39480,32.1707,7,5.50000000000,0.40000000000
19603,30.35067,22.4980,7,5.50000000000,0.40000000000
19604,29.88639,22.4913,7,5.50000000000,0.40000000000
19605,30.81178,22.4823,7,5.50000000000,0.40000000000
19606,29.22610,22.4676,7,5.50000000000,0.40000000000
19607,29.57104,22.4463,7,5.50000000000,0.40000000000
19608,30.16455,22.4316,7,5.50000000000,0.40000000000
19609,29.47294,22.3908,7,5.50000000000,0.40000000000
19610,29.52428,11.4482,8,3.30000000000,0.40000000000
19611,30.42539,11.4431,8,3.30000000000,0.40000000000
19612,29.01345,11.4330,8,3.30000000000,0.40000000000
19613,29.66394,11.4257,8,3.30000000000,0.40000000000
19614,30.38923,11.4185,8,3.30000000000,0.40000000000
19615,29.23981,11.4125,8,3.30000000000,0.40000000000
19616,29.98277,11.4059,8,3.30000000000,0.40000000000
19617,30.86777,11.2465,8,3.30000000000,0.40000000000
19618,29.36296,11.2423,8,3.30000000000,0.40000000000
19619,30.27157,11.2339,8,3.30000000000,0.40000000000
19620,30.66995,11.2262,8,3.30000000000,0.40000000000
19621,30.32034,11.2156,8,3.30000000000,0.40000000000
19622,30.40615,11.2066,8,3.30000000000,0.40000000000
19623,30.03907,11.2012,8,3.30000000000,0.40000000000
19624,31.18713,11.1915,8,3.30000000000,0.40000000000
19625,30.89153,11.1861,8,3.30000000000,0.40000000000
19626,29.30203,11.1783,8,3.30000000000,0.40000000000
19627,30.99445,11.1710,8,3.30000000000,0.40000000000
19628,29.94869,11.1575,8,3.30000000000,0.40000000000
19629,29.25386,11.1447,8,3.30000000000,0.40000000000
19630,29.25658,11.1279,8,3.30000000000,0.40000000000
19631,28.81212,11.1227,8,3.30000000000,0.40000000000
19632,29.65269,11.1146,8,3.30000000000,0.40000000000
19633,29.94527,11.0961,8,3.30000000000,0.40000000000
19634,28.89329,11.0865,9,3.10000000000,0.30000000000
19635,30.66660,10.9061,9,3.10000000000,0.30000000000
19636,31.06330,10.8993,9,3.10000000000,0.30000000000
19637,31.08864,10.8895,9,3.10000000000,0.30000000000
19638,30.97342,10.8816,9,3.10000000000,0.30000000000
19639,28.94435,10.8738,9,3.10000000000,0.30000000000
19640,30.07630,10.8646,9,3.10000000000,0.30000000000
19641,29.45112,10.8565,9,3.10000000000,0.30000000000
19642,31.04609,10.8469,9,3.10000000000,0.30000000000
19643,30.15504,10.8390,9,3.10000000000,0.30000000000
19644,30.41701,10.8289,9,3.10000000000,0.30000000000
19645,29.44755,10.8175,9,3.10000000000,0.30000000000
19646,30.53871,10.8077,9,3.10000000000,0.30000000000
19647,30.18678,10.8038,9,3.10000000000,0.30000000000
19648,31.21290,10.7892,9,3.10000000000,0.30000000000
19649,29.54890,10.7768,9,3.10000000000,0.30000000000
19650,30.72573,10.7728,9,3.10000000000,0.30000000000
19651,31.08975,10.7663,10,4.00000000000,0.50000000000
19652,30.90695,10.7550,10,4.00000000000,0.50000000000
19653,30.75225,10.7431,10,4.00000000000,0.50000000000
19654,30.32176,10.7339,10,4.00000000000,0.50000000000
19655,30.35510,10.7194,10,4.00000000000,0.50000000000
19656,29.66892,10.7097,10,4.00000000000,0.50000000000
19657,30.31731,10.6989,10,4.00000000000,0.50000000000
19658,29.54416,10.6840,10,4.00000000000,0.50000000000
19659,29.86885,10.6688,10,4.00000000000,0.50000000000
19660,30.04450,10.6145,10,4.00000000000,0.50000000000
19661,29.54419,10.5743,10,4.00000000000,0.50000000000
19662,30.53092,10.5697,10,4.00000000000,0.50000000000
19663,30.18824,10.5605,10,4.00000000000,0.50000000000
19664,30.48137,10.5530,10,4.00000000000,0.50000000000
19665,29.47416,10.5371,10,4.00000000000,0.50000000000
19666,29.24188,10.5274,10,4.00000000000,0.50000000000
19667,29.70210,10.5225,10,4.00000000000,0.50000000000
19668,30.25215,10.4751,10,4.00000000000,0.50000000000
19669,30.22032,10.4649,10,4.00000000000,0.50000000000
19670,30.85248,10.4593,10,4.00000000000,0.50000000000
19671,30.97349,10.4458,10,4.00000000000,0.50000000000
